region;comuna;estado_principal_label;apto_para_visor;archivo_recomendado;capa_recomendada;motivo;prc_fecha;prc_nombre;actos_posteriores;ultimo_acto_posterior
Antofagasta;Antofagasta;Requiere revisar cambios posteriores;REVISAR;IPT_Antofagasta/PRC/Antofagasta/IPT_02_PRC_Antofagasta.shp;IPT_02_PRC_Antofagasta;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2002-07-17;Plan Regulador Comunal de Antofagasta;5;2016-02-09
Antofagasta;Calama;Requiere revisar cambios posteriores;REVISAR;IPT_Antofagasta/PRC/Calama/IPT_02_PRC_Calama.shp;IPT_02_PRC_Calama;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2004-10-04;Plan Regulador Comunal de Calama;4;2015-05-20
Antofagasta;Maria Elena;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
Antofagasta;Mejillones;Requiere revisar cambios posteriores;REVISAR;IPT_Antofagasta/PRC/Mejillones/IPT_02_PRC_Mejillones.shp;IPT_02_PRC_Mejillones;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2000-11-11;Plan Regulador Comunal del Puerto y Bahía de Mejillones;7;2015-04-28
Antofagasta;Ollague;Probablemente actualizado · falta verificación espacial;REVISAR;IPT_Antofagasta/PRC/Ollague/IPT_02_PRC_Ollague.shp;IPT_02_PRC_Ollague;Hay evidencia SIG compatible con todos los actos posteriores, pero aún falta comprobar geometría y atributos.;2004-06-19;Plano Regulador de la Comuna de Ollagüe;1;
Antofagasta;San Pedro De Atacama;Probablemente actualizado · falta verificación espacial;REVISAR;IPT_Antofagasta/PRC/San Pedro de Atacama/IPT_02_PRC_SanPedroAtacama.shp;IPT_02_PRC_SanPedroAtacama;Hay evidencia SIG compatible con todos los actos posteriores, pero aún falta comprobar geometría y atributos.;1998-09-21;Plan Regulador Comunal  San Pedro de Atacama;2;2002-12-31
Antofagasta;Sierra Gorda;Vigente · sin cambios posteriores detectados;SI;IPT_Antofagasta/PRC/Sierra Gorda/IPT_2_PRC_Sierra_Gorda.shp;IPT_2_PRC_Sierra_Gorda;La cartografía está vinculada al instrumento vigente y no se detectaron actos posteriores vigentes que requieran incorporación.;2021-06-19;Modificación Plan Regulador Comunal de Sierra Gorda;0;
Antofagasta;Taltal;Requiere revisar cambios posteriores;REVISAR;IPT_Antofagasta/PRC/Tal tal/IPT_02_PRC_Taltal.shp;IPT_02_PRC_Taltal;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2001-05-31;Plan Regulador Comunal de Taltal;5;2024-07-10
Antofagasta;Tocopilla;Requiere revisar cambios posteriores;REVISAR;IPT_Antofagasta/PRC/Tocopilla/IPT_02_PRC_Tocopilla.shp;IPT_02_PRC_Tocopilla;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2001-11-17;Modificación Plan Regulador Comunal de Tocopilla;5;2020-09-22
Arica y Parinacota;Arica;Probablemente actualizado · falta verificación espacial;REVISAR;IPT_AricayParinacota/PRC/Arica/IPT_15_PRC_Arica.shp;IPT_15_PRC_Arica;Hay evidencia SIG compatible con todos los actos posteriores, pero aún falta comprobar geometría y atributos.;2009-07-11;Plan Regulador Comunal de Arica;1;
